Name,Current_Season,Next_Season,Current_Age,Target_Age,Current_PA,Target_PA,Current_HR,Target_HR,Current_ISO,Target_ISO,Current_FB%,Target_FB%,Current_HR/FB,Target_HR/FB,Current_Barrel%,Target_Barrel%,Current_HardHit%,Target_HardHit%,Current_EV,Target_EV,Current_Pull%,Target_Pull%
A.J. Pollock,2020,2021,32,33,210,422,16,21,0.291,0.24,0.3989999999999999,0.386,0.262,0.178,0.105,0.111,0.431,0.474,89.6,90.3,0.4579999999999999,0.444
A.J. Pollock,2021,2022,33,34,422,527,21,14,0.24,0.143,0.386,0.358,0.178,0.099,0.111,0.094,0.474,0.42,90.3,88.8,0.444,0.4379999999999999
Aaron Hicks,2022,2023,32,33,453,312,8,8,0.096,0.13,0.3929999999999999,0.392,0.074,0.103,0.0579999999999999,0.04,0.331,0.294,87.9,85.3,0.475,0.4579999999999999
Aaron Judge,2021,2022,29,30,633,696,39,62,0.256,0.375,0.355,0.435,0.2769999999999999,0.356,0.176,0.262,0.579,0.611,95.8,95.8,0.363,0.475
Aaron Judge,2022,2023,30,31,696,458,62,37,0.375,0.346,0.435,0.5,0.356,0.308,0.262,0.275,0.611,0.642,95.8,97.6,0.475,0.45
Aaron Judge,2023,2024,31,32,458,704,37,58,0.346,0.379,0.5,0.462,0.308,0.322,0.275,0.2689999999999999,0.642,0.611,97.6,96.2,0.45,0.4
Aaron Judge,2024,2025,32,33,704,679,58,53,0.379,0.357,0.462,0.4639999999999999,0.322,0.294,0.2689999999999999,0.247,0.611,0.5820000000000001,96.2,95.4,0.4,0.366
Abraham Toro,2021,2022,24,25,375,352,11,10,0.134,0.139,0.435,0.46,0.089,0.083,0.074,0.068,0.3389999999999999,0.297,86.8,87.0,0.3389999999999999,0.46
Abraham Toro,2024,2025,27,28,364,284,6,7,0.11,0.131,0.364,0.369,0.06,0.085,0.043,0.045,0.296,0.342,87.2,86.3,0.408,0.428
Adam Duvall,2020,2021,31,32,209,555,16,38,0.295,0.263,0.54,0.529,0.216,0.21,0.139,0.161,0.401,0.439,88.1,89.8,0.445,0.474
Adam Duvall,2021,2022,32,33,555,315,38,12,0.263,0.188,0.529,0.521,0.21,0.122,0.161,0.128,0.439,0.41,89.8,88.3,0.474,0.495
Adam Duvall,2022,2023,33,34,315,353,12,21,0.188,0.284,0.521,0.5670000000000001,0.122,0.172,0.128,0.13,0.41,0.391,88.3,88.8,0.495,0.586
Adam Duvall,2023,2024,34,35,353,330,21,11,0.284,0.142,0.5670000000000001,0.507,0.172,0.106,0.13,0.107,0.391,0.366,88.8,86.9,0.586,0.522
Adam Frazier,2020,2021,28,29,230,639,7,5,0.134,0.106,0.351,0.296,0.115,0.033,0.04,0.01,0.251,0.252,85.5,85.4,0.349,0.371
Adam Frazier,2021,2022,29,30,639,602,5,3,0.106,0.072,0.296,0.348,0.033,0.018,0.01,0.015,0.252,0.245,85.4,85.1,0.371,0.366
Adam Frazier,2022,2023,30,31,602,455,3,13,0.072,0.155,0.348,0.368,0.018,0.102,0.015,0.031,0.245,0.2339999999999999,85.1,85.7,0.366,0.391
Adam Frazier,2023,2024,31,32,455,294,13,4,0.155,0.092,0.368,0.363,0.102,0.055,0.031,0.0289999999999999,0.2339999999999999,0.228,85.7,84.5,0.391,0.4029999999999999
Adam Frazier,2024,2025,32,33,294,459,4,7,0.092,0.098,0.363,0.362,0.055,0.057,0.0289999999999999,0.02,0.228,0.206,84.5,85.3,0.4029999999999999,0.384
Addison Barger,2024,2025,24,25,225,502,7,21,0.154,0.211,0.362,0.3929999999999999,0.13,0.157,0.087,0.114,0.38,0.509,88.3,91.7,0.3829999999999999,0.4629999999999999
Adley Rutschman,2022,2023,24,25,470,687,13,20,0.191,0.158,0.384,0.346,0.107,0.118,0.079,0.075,0.368,0.386,87.9,88.4,0.4379999999999999,0.384
Adley Rutschman,2023,2024,25,26,687,638,20,19,0.158,0.14,0.346,0.429,0.118,0.093,0.075,0.061,0.386,0.366,88.4,88.2,0.384,0.421
Adley Rutschman,2024,2025,26,27,638,365,19,9,0.14,0.146,0.429,0.397,0.093,0.085,0.061,0.075,0.366,0.386,88.2,89.4,0.421,0.427
Adolis Garcia,2021,2022,28,29,622,657,31,27,0.212,0.207,0.405,0.3979999999999999,0.196,0.159,0.115,0.129,0.455,0.474,91.0,92.1,0.4479999999999999,0.423
Adolis Garcia,2022,2023,29,30,657,632,27,39,0.207,0.263,0.3979999999999999,0.469,0.159,0.215,0.129,0.161,0.474,0.497,92.1,92.1,0.423,0.425
Adolis Garcia,2023,2024,30,31,632,637,39,25,0.263,0.176,0.469,0.428,0.215,0.143,0.161,0.122,0.497,0.479,92.1,91.0,0.425,0.3989999999999999
Adolis Garcia,2024,2025,31,32,637,547,25,19,0.176,0.168,0.428,0.462,0.143,0.109,0.122,0.1159999999999999,0.479,0.467,91.0,92.1,0.3989999999999999,0.396
Akil Baddoo,2021,2022,22,23,461,225,13,2,0.177,0.065,0.391,0.4,0.113,0.037,0.088,0.036,0.3229999999999999,0.27,86.0,85.0,0.3779999999999999,0.336
Akil Baddoo,2022,2023,23,24,225,357,2,11,0.065,0.154,0.4,0.381,0.037,0.129,0.036,0.062,0.27,0.363,85.0,88.1,0.336,0.385
Albert Pujols,2021,2022,41,42,296,351,17,24,0.196,0.28,0.379,0.4529999999999999,0.193,0.205,0.091,0.12,0.397,0.473,90.3,91.2,0.504,0.535
Alec Bohm,2021,2022,24,25,417,631,7,13,0.095,0.118,0.2269999999999999,0.305,0.113,0.088,0.066,0.068,0.495,0.43,92.0,90.2,0.286,0.337
Alec Bohm,2022,2023,25,26,631,611,13,20,0.118,0.163,0.305,0.3379999999999999,0.088,0.126,0.068,0.057,0.43,0.417,90.2,89.4,0.337,0.302
Alec Bohm,2023,2024,26,27,611,606,20,15,0.163,0.168,0.3379999999999999,0.3289999999999999,0.126,0.096,0.057,0.065,0.417,0.451,89.4,90.5,0.302,0.361
Alec Bohm,2024,2025,27,28,606,504,15,11,0.168,0.123,0.3289999999999999,0.284,0.096,0.1,0.065,0.062,0.451,0.4639999999999999,90.5,90.8,0.361,0.32
Alec Burleson,2023,2024,24,25,347,595,8,21,0.146,0.152,0.367,0.368,0.0819999999999999,0.12,0.0579999999999999,0.065,0.406,0.415,89.9,89.7,0.3879999999999999,0.337
Alec Burleson,2024,2025,25,26,595,546,21,18,0.152,0.169,0.368,0.421,0.12,0.102,0.065,0.094,0.415,0.428,89.7,91.0,0.337,0.352
Aledmys Diaz,2021,2022,30,31,319,327,8,12,0.146,0.161,0.341,0.372,0.1009999999999999,0.128,0.065,0.063,0.4479999999999999,0.366,88.7,86.6,0.53,0.488
Aledmys Diaz,2022,2023,31,32,327,344,12,4,0.161,0.108,0.372,0.341,0.128,0.047,0.063,0.0279999999999999,0.366,0.335,86.6,87.8,0.488,0.437
Alejandro Kirk,2022,2023,23,24,541,422,14,8,0.13,0.108,0.308,0.301,0.109,0.081,0.067,0.052,0.4539999999999999,0.3829999999999999,90.5,87.6,0.353,0.331
Alejandro Kirk,2023,2024,24,25,422,386,8,5,0.108,0.106,0.301,0.3289999999999999,0.081,0.051,0.052,0.067,0.3829999999999999,0.409,87.6,89.4,0.331,0.342
Alejandro Kirk,2024,2025,25,26,386,506,5,15,0.106,0.14,0.3289999999999999,0.372,0.051,0.1009999999999999,0.067,0.1009999999999999,0.409,0.508,89.4,91.1,0.342,0.289
Alek Thomas,2022,2023,22,23,411,402,8,9,0.113,0.144,0.25,0.255,0.103,0.122,0.038,0.051,0.346,0.416,87.4,88.9,0.359,0.406
Alex Bregman,2021,2022,27,28,400,656,12,23,0.152,0.195,0.408,0.478,0.098,0.1,0.064,0.073,0.381,0.3779999999999999,89.0,88.9,0.522,0.482
Alex Bregman,2022,2023,28,29,656,724,23,25,0.195,0.178,0.478,0.46,0.1,0.1009999999999999,0.073,0.054,0.3779999999999999,0.382,88.9,88.6,0.482,0.426
Alex Bregman,2023,2024,29,30,724,634,25,26,0.178,0.193,0.46,0.4529999999999999,0.1009999999999999,0.115,0.054,0.062,0.382,0.4029999999999999,88.6,89.1,0.426,0.3989999999999999
Alex Bregman,2024,2025,30,31,634,495,26,18,0.193,0.189,0.4529999999999999,0.441,0.115,0.1119999999999999,0.062,0.066,0.4029999999999999,0.444,89.1,90.1,0.3989999999999999,0.474
Alex Verdugo,2020,2021,24,25,221,604,6,13,0.169,0.138,0.2739999999999999,0.286,0.14,0.1009999999999999,0.064,0.071,0.344,0.43,87.0,90.0,0.401,0.37
Alex Verdugo,2021,2022,25,26,604,644,13,11,0.138,0.125,0.286,0.3289999999999999,0.1009999999999999,0.065,0.071,0.06,0.43,0.382,90.0,89.1,0.37,0.322
Alex Verdugo,2022,2023,26,27,644,602,11,13,0.125,0.158,0.3289999999999999,0.3379999999999999,0.065,0.084,0.06,0.05,0.382,0.376,89.1,89.2,0.322,0.382
Alex Verdugo,2023,2024,27,28,602,621,13,13,0.158,0.123,0.3379999999999999,0.3379999999999999,0.084,0.081,0.05,0.0559999999999999,0.376,0.349,89.2,88.3,0.382,0.372
Alex Verdugo,2024,2025,28,29,621,213,13,0,0.123,0.051,0.3379999999999999,0.313,0.081,0.0,0.0559999999999999,0.03,0.349,0.428,88.3,89.9,0.372,0.386
Amed Rosario,2021,2022,25,26,588,670,11,11,0.127,0.121,0.281,0.2739999999999999,0.09,0.076,0.0279999999999999,0.045,0.433,0.3829999999999999,88.8,88.4,0.32,0.347
Amed Rosario,2022,2023,26,27,670,545,11,6,0.121,0.116,0.2739999999999999,0.314,0.076,0.046,0.045,0.034,0.3829999999999999,0.3939999999999999,88.4,88.3,0.347,0.3289999999999999
Amed Rosario,2023,2024,27,28,545,346,6,3,0.116,0.099,0.314,0.2769999999999999,0.046,0.042,0.034,0.046,0.3939999999999999,0.362,88.3,86.9,0.3289999999999999,0.335
Andres Gimenez,2021,2022,22,23,210,557,5,17,0.133,0.169,0.3779999999999999,0.327,0.098,0.14,0.036,0.062,0.304,0.3779999999999999,86.4,87.8,0.442,0.409
Andres Gimenez,2022,2023,23,24,557,616,17,15,0.169,0.147,0.327,0.373,0.14,0.092,0.062,0.055,0.3779999999999999,0.27,87.8,84.8,0.409,0.431
Andres Gimenez,2023,2024,24,25,616,633,15,9,0.147,0.087,0.373,0.292,0.092,0.063,0.055,0.0279999999999999,0.27,0.285,84.8,86.3,0.431,0.4
Andres Gimenez,2024,2025,25,26,633,369,9,7,0.087,0.103,0.292,0.35,0.063,0.076,0.0279999999999999,0.03,0.285,0.2769999999999999,86.3,86.3,0.4,0.375
Andrew Benintendi,2021,2022,26,27,538,521,17,5,0.166,0.095,0.405,0.345,0.105,0.038,0.089,0.051,0.432,0.387,89.6,89.2,0.4039999999999999,0.305
Andrew Benintendi,2022,2023,27,28,521,621,5,5,0.095,0.094,0.345,0.347,0.038,0.03,0.051,0.0289999999999999,0.387,0.27,89.2,86.6,0.305,0.325
Andrew Benintendi,2023,2024,28,29,621,522,5,20,0.094,0.168,0.347,0.424,0.03,0.123,0.0289999999999999,0.063,0.27,0.344,86.6,88.0,0.325,0.445
Andrew Benintendi,2024,2025,29,30,522,470,20,20,0.168,0.19,0.424,0.488,0.123,0.119,0.063,0.11,0.344,0.368,88.0,88.0,0.445,0.483
Andrew Knizner,2022,2023,27,28,293,241,4,10,0.085,0.183,0.379,0.429,0.053,0.145,0.035,0.079,0.332,0.409,86.0,89.6,0.407,0.39
